What,Where,When,How_Much
Queen + Adam Lambert - Udsolgt/venteliste.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Wed 22 November 2017, 8 pm.","(Entrance fee: 500,00 dkk - 810,00 dkk)"
Shaka Loveless.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 22 November 2017, 8 pm.",(Entrance fee: 195 - 245 DKK)
Calan.,"Baltoppen Live, Baltorpvej 20, Ballerup","Wed 22 November 2017, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Kathrine Windfeld Sekstet.,"Templet, Jernbanevej 16, Kongens Lyngby","Wed 22 November 2017, 8 pm.",(Entrance fee: 50 - 100 DKK)
Søren Kristiansen Trio.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 22 November 2017, 8 pm.",(Entrance fee: 260 DKK + evt. gebyr)
Mastodon (us) - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Wed 22 November 2017, 8 pm.","(Entrance fee: 360,00 DKK)"
Little Steven & The Disciples Of Soul - Få Billetter.,"Amager Bio, Øresundsvej 6, Copenhagen S","Wed 22 November 2017, 8 pm.","(Entrance fee: 480,00 DKK)"
Chief 1 m. band.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Wed 22 November 2017, 8 pm  - 10 pm.",(Entrance fee: 120 DKK.)
EZRA live på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Wed 22 November 2017, 8.30 pm.",(Entrance fee: 40 DKK)
Nothing More.,"Pumpehuset, Studiestræde 52, Copenhagen V","Wed 22 November 2017, 9 pm.","(Entrance fee: 195,00 DKK)"
Tim Hagans / Marek Konarski Quintet.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Wed 22 November 2017, 9 pm  - 11.30 pm.",(Entrance fee: 168 DKK + gebyr)
Bechmann Sidenius.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Wed 22 November 2017, 9.30 pm.",
